Year,Team,Games Won,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,,,,,,
2022-2023,New Orleans Pelicans 2023,5,10,118.5,45.1,93.6,48.2,11.1,28.6,38.8,17.2,22.7,75.8,12.7,33.1,45.8,28,8.7,3.9,13.5,19.9,,,,,,
2022-2023,Utah Jazz 2023,9,12,118.3,43.3,91.6,47.3,14.9,40.1,37.2,16.7,21.6,77.2,12.3,32.3,44.5,27.8,8.9,5.4,15.3,22.8,,,,,,
2022-2023,Boston Celtics 2023,7,10,117.8,40.8,85.5,47.7,15.6,40.3,38.7,20.6,24.1,85.5,7.8,33.4,41.2,25.4,5.5,5.8,13.3,21.7,,,,,,
2022-2023,Golden State Warriors 2023,4,11,117.3,42.7,89.9,47.5,14.6,40.7,35.9,17.2,21.5,79.7,9.4,31.9,41.3,28.5,7.3,4,16,23.9,,,,,,
2022-2023,Indiana Pacers 2023,5,10,117.1,41.2,90.8,45.4,15.3,40.4,37.9,19.4,24.2,80.2,11.3,33.4,44.7,28.4,6.5,6.8,15.4,22.2,,,,,,
2022-2023,Atlanta Hawks 2023,7,10,116.5,44.5,94.9,46.9,10.4,29.9,34.8,17.1,20.9,81.8,10.9,33.9,44.8,25.8,8.1,5.7,11.8,21.6,,,,,,
2022-2023,Cleveland Cavaliers 2023,8,10,116.3,41.5,86.9,47.8,13.4,33.6,39.9,19.9,24.6,80.9,9.9,35.7,45.6,25.4,5.7,5,14.6,20.9,,,,,,
2022-2023,Denver Nuggets 2023,7,10,116.2,44,87.7,50.2,13.4,32,41.9,14.8,20.7,71.5,10.6,34.8,45.4,29,7.5,3.8,15.3,18.8,,,,,,
2022-2023,Memphis Grizzlies 2023,7,11,116.1,43,92.2,46.6,13.3,34.7,38.2,16.8,23.7,70.9,12.9,34.1,47,24.4,6.7,5.5,13.7,20.8,,,,,,
2022-2023,New York Knicks 2023,5,10,115,43,92.8,46.3,11.8,34.8,33.9,17.2,22.3,77.1,12.7,36.1,48.8,24.7,6.5,5.5,14.5,22.1,,,,,,
2022-2023,Sacramento Kings 2023,3,9,114.7,41.1,87.1,47.2,14.1,39,36.2,18.3,24.2,75.7,7.8,33.8,41.6,26.7,6.1,3.4,14.6,22.3,,,,,,
2022-2023,Minnesota Timberwolves 2023,5,11,113.7,42.5,90.3,47.1,11.5,35.3,32.5,17.2,22.5,76.5,10.9,35.2,46.1,26.4,7.7,5.6,15.9,21.4,,,,,,
2022-2023,Dallas Mavericks 2023,6,10,113,39.3,82.1,47.9,13,36.4,35.7,21.3,28.3,75.3,8.9,31.2,40.1,19.6,8.3,4,14,21.3,,,,,,
2022-2023,San Antonio Spurs 2023,5,11,112.9,41.9,89.5,46.8,13.6,35.5,38.4,15.5,21.4,72.3,10.7,30.7,41.5,29.9,7.6,4.3,17.2,18.6,,,,,,
2022-2023,Phoenix Suns 2023,7,10,112.4,41,86.7,47.3,11.5,31.9,36,18.9,23.2,81.5,10.5,31,41.5,27.6,7.9,5.9,12.9,22.3,,,,,,
2022-2023,Toronto Raptors 2023,6,11,111.9,40.8,89.7,45.5,12.3,33.7,36.4,18,23.5,76.4,11.5,31.8,43.3,24.5,10.6,5.9,11.7,20.4,,,,,,
2022-2023,Orlando Magic 2023,3,11,111.5,40.5,84.8,47.8,9.7,30,32.4,20.7,26.4,78.6,10.2,35.2,45.4,21.2,6.5,5.7,16.1,22.8,,,,,,
2022-2023,Chicago Bulls 2023,6,12,111.4,39.8,86.4,46.1,11,29.5,37.3,20.8,24.4,85,10.8,33.6,44.3,24.3,8.3,5.7,15,20.2,,,,,,
2022-2023,Milwaukee Bucks 2023,9,10,111.4,40.4,89.9,44.9,13.4,39.3,34.1,17.2,23.4,73.5,12.2,38.5,50.7,23.8,7.5,6.8,14.4,19.4,,,,,,
2022-2023,Brooklyn Nets 2023,4,11,110.5,40,84.1,47.6,11.3,32.1,35.1,19.3,23.5,81.9,8.8,30.6,39.5,25.2,7.6,8.1,13.1,22.7,,,,,,
2022-2023,Houston Rockets 2023,2,11,110.4,39.2,90.5,43.3,13.4,36.9,36.2,18.6,24.5,75.9,13.9,31.3,45.2,21.1,7.7,4.5,16.3,21.5,,,,,,
2022-2023,Portland Trail Blazers 2023,7,10,109.8,38.9,83,46.9,11.8,29.9,39.5,20.2,25.9,78,10.7,33,43.7,23.2,6.9,4.3,16.2,19,,,,,,
2022-2023,Oklahoma City Thunder 2023,4,10,109.7,42.1,95.5,44.1,10.2,34.8,29.3,15.3,20.2,75.7,12.3,32.6,44.9,23.8,9.1,6.1,11.7,21.1,,,,,,
2022-2023,Charlotte Hornets 2023,3,11,109.1,40.9,92.5,44.2,10.8,31.9,33.9,16.5,22.9,71.8,12.2,33.7,45.9,26.5,7.5,6.3,14.5,20.5,,,,,,
2022-2023,Philadelphia 76ers 2023,5,11,108.9,38.7,82.9,46.7,13.5,34.5,39.2,17.9,22.4,80.1,7.8,31.4,39.2,24.2,7.9,4.7,12.5,19.5,,,,,,
2022-2023,Los Angeles Lakers 2023,2,10,108.4,40.2,90.5,44.4,9.3,32,29.1,18.7,23.6,79.2,9.6,35.5,45.1,23.2,7.8,5.5,14.8,20.1,,,,,,
2022-2023,Miami Heat 2023,4,11,108,38.4,85.2,45,11.9,34.6,34.4,19.4,22.1,87.7,8.7,31.5,40.2,24.7,8.2,2.9,13.3,20.1,,,,,,
2022-2023,Detroit Pistons 2023,3,11,107.7,37.7,88.5,42.6,11.4,33.7,33.7,20.9,26.6,78.5,11.7,32.2,43.9,21.2,6.4,4,14.2,22.5,,,,,,
2022-2023,Washington Wizards 2023,5,11,107,40.5,86,47,8.9,29.1,30.6,17.2,21.8,78.8,9.5,34.4,43.8,23.5,5.6,5.9,12.8,19.9,,,,,,
2022-2023,LA Clippers 2023,6,11,103.8,39.3,82.8,47.4,10.7,32.2,33.3,14.5,19.8,73.4,7,35.5,42.5,21.3,7.4,5.5,15,20,,,,,,
2021-2022,Minnesota Timberwolves 2022,46,82,115.9,41.6,91,45.7,14.8,41.3,35.8,18,23.1,77.8,11.2,32.9,44.2,25.7,8.8,5.6,13.7,21.8,,,,,,
2021-2022,Memphis Grizzlies 2022,56,82,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17,23.1,73.4,14.1,35,49.2,26,9.8,6.5,12.5,19.8,,,,,,
2021-2022,Milwaukee Bucks 2022,51,82,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.3,36.5,46.7,23.9,7.6,4,12.7,18.2,,,,,,
2021-2022,Charlotte Hornets 2022,43,82,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,8.6,4.9,12.7,19.9,,,,,,
2021-2022,Phoenix Suns 2022,64,82,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,8.6,4.4,12.3,19.9,,,,,,
2021-2022,Atlanta Hawks 2022,43,82,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,7.2,4.2,11.3,18.7,,,,,,
2021-2022,Utah Jazz 2022,49,82,113.6,40.6,86.2,47.1,14.5,40.3,36,17.9,23.4,76.7,10.8,35.6,46.3,22.4,7.2,4.9,13.2,18.9,,,,,,
2021-2022,San Antonio Spurs 2022,34,82,113.2,43.2,92.7,46.7,11.3,32,35.2,15.4,20.4,75.4,11,34.3,45.3,27.9,7.6,4.9,12.3,18.1,,,,,,
2021-2022,Brooklyn Nets 2022,44,82,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,7.1,5.5,13.2,20.4,,,,,,
2021-2022,Denver Nuggets 2022,48,82,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21,79.5,9.2,34.9,44.1,27.8,7.2,3.7,13.8,20,,,,,,
2021-2022,Los Angeles Lakers 2022,33,82,112.1,41.6,88.8,46.9,12,34.5,34.7,16.8,23,73.2,9.5,34.5,44,24,7.6,5.2,13.9,20.2,,,,,,
2021-2022,Boston Celtics 2022,51,82,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,7.2,5.8,13,18.5,,,,,,
2021-2022,Chicago Bulls 2022,46,82,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,7.1,4.1,12.1,18.8,,,,,,
2021-2022,Indiana Pacers 2022,23,82,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,7.1,5.6,13.6,20.4,,,,,,
2021-2022,Golden State Warriors 2022,53,82,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,8.8,4.5,14.3,21,,,,,,
2021-2022,Sacramento Kings 2022,30,82,110.3,40.5,88.1,46,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,7.2,4.5,13.5,18.9,,,,,,
2021-2022,Miami Heat 2022,53,82,110,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,7.4,3.2,13.8,20.5,,,,,,
2021-2022,Philadelphia 76ers 2022,51,82,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,7.7,5.3,11.7,19.4,,,,,,
2021-2022,Houston Rockets 2022,20,82,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42,23.6,7.3,4.7,15.7,20.6,,,,,,
2021-2022,Toronto Raptors 2022,48,82,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32,45.3,22.1,9,4.6,11.6,19.6,,,,,,
2021-2022,New Orleans Pelicans 2022,36,82,109.3,40.2,88,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12,33.2,45.2,25,8.3,4,13.3,19.7,,,,,,
2021-2022,Washington Wizards 2022,35,82,108.6,40.6,86,47.2,10.5,30.6,34.2,17,21.7,78.3,9,34.1,43.1,25,6.4,5,12.6,18.8,,,,,,
2021-2022,LA Clippers 2022,42,82,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44,24,7.4,5,13,18.6,,,,,,
2021-2022,Dallas Mavericks 2022,52,82,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,9.3,33.8,43,23.4,6.7,4,11.7,19.7,,,,,,
2021-2022,Cleveland Cavaliers 2022,44,82,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76,10.2,34,44.2,25.2,7.1,4.2,13.3,17.5,,,,,,
2021-2022,New York Knicks 2022,37,82,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18,24.1,74.4,11.5,34.6,46.1,21.9,7,4.9,12.4,20.4,,,,,,
2021-2022,Portland Trail Blazers 2022,27,82,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76,10.4,32.5,42.9,22.9,8,4.5,13.7,21.1,,,,,,
2021-2022,Detroit Pistons 2022,23,82,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,7.7,4.8,13.4,21.9,,,,,,
2021-2022,Orlando Magic 2022,22,82,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,6.8,4.5,13.8,19.7,,,,,,
2021-2022,Oklahoma City Thunder 2022,24,82,103.7,38.3,89.1,43,12.1,37.4,32.3,15,19.9,75.6,10.4,35.2,45.6,22.2,7.6,4.6,13.3,18.3,,,,,,
2020-2021,Milwaukee Bucks 2021,46,72,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76,10.3,37.8,48.1,25.5,8.1,4.6,13.4,17.3,,,,,,
2020-2021,Brooklyn Nets 2021,48,72,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,6.7,5.3,13.1,19,,,,,,
2020-2021,Washington Wizards 2021,34,72,116.6,43.2,90.9,47.5,10.2,29,35.1,20.1,26.2,76.9,9.7,35.5,45.2,25.5,7.3,4.1,13.9,21.6,,,,,,
2020-2021,Utah Jazz 2021,52,72,116.4,41.3,88.1,46.8,16.7,43,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,6.6,5.2,13.5,18.5,,,,,,
2020-2021,Portland Trail Blazers 2021,42,72,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,6.9,5,10.8,18.9,,,,,,
2020-2021,Indiana Pacers 2021,34,72,115.3,43.3,91.2,47.4,12.3,34,36.4,16.4,20.7,79.2,9,33.7,42.7,27.4,8.5,6.4,13,20.2,,,,,,
2020-2021,Phoenix Suns 2021,51,72,115.3,43.3,88.3,49,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,7.2,4.3,12,19.1,,,,,,
2020-2021,Denver Nuggets 2021,47,72,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,8.1,4.5,12.8,19.1,,,,,,
2020-2021,New Orleans Pelicans 2021,31,72,114.6,42.5,89.1,47.7,10.6,30.4,34.8,19,26.1,72.9,11.7,35.7,47.4,26,7.6,4.4,13.9,18,,,,,,
2020-2021,LA Clippers 2021,47,72,114,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,7.1,4.1,12.4,19.2,,,,,,
2020-2021,Sacramento Kings 2021,31,72,113.7,42.6,88.6,48.1,12.1,33.3,36.4,16.4,22,74.5,9.4,32,41.4,25.5,7.5,5,12.8,19.4,,,,,,
2020-2021,Golden State Warriors 2021,39,72,113.7,41.3,88.2,46.8,14.6,38.7,37.6,16.6,21.1,78.5,8,35.1,43,27.7,8.2,4.8,14.6,21.2,,,,,,
2020-2021,Atlanta Hawks 2021,41,72,113.7,40.8,87.2,46.8,12.4,33.4,37.3,19.7,24.2,81.2,10.6,35.1,45.6,24.1,7,4.8,12.7,19.3,,,,,,
2020-2021,Philadelphia 76ers 2021,49,72,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10,35,45.1,23.7,9.1,6.2,13.7,20.2,,,,,,
2020-2021,Memphis Grizzlies 2021,38,72,113.3,42.8,91.8,46.7,11.2,31.4,35.6,16.4,21.3,77.1,11.2,35.3,46.5,26.9,9.1,5.1,12.7,18.7,,,,,,
2020-2021,Boston Celtics 2021,36,72,112.6,41.5,88.9,46.6,13.6,36.4,37.4,16.1,20.8,77.5,10.6,33.6,44.3,23.5,7.7,5.3,13.4,20.4,,,,,,
2020-2021,Dallas Mavericks 2021,42,72,112.4,41.1,87.3,47,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,6.3,4.3,11.4,19.4,,,,,,
2020-2021,Minnesota Timberwolves 2021,23,72,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33,43.5,25.6,8.8,5.5,13.7,20.9,,,,,,
2020-2021,Toronto Raptors 2021,27,72,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,8.6,5.4,12.5,21.2,,,,,,
2020-2021,San Antonio Spurs 2021,33,72,111.1,41.9,90.5,46.2,9.9,28.4,35,17.4,22,79.2,9.3,34.6,43.9,24.4,7,5.1,11,18,,,,,,
2020-2021,Chicago Bulls 2021,31,72,110.7,42.2,88.6,47.6,12.6,34,37,13.8,17.5,79.1,9.6,35.3,45,26.8,6.7,4.2,14.5,18.9,,,,,,
2020-2021,Los Angeles Lakers 2021,42,72,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,7.8,5.4,14.7,19.1,,,,,,
2020-2021,Charlotte Hornets 2021,33,72,109.5,39.9,87.8,45.5,13.7,37,36.9,15.9,20.9,76.1,10.6,33.2,43.8,26.8,7.8,4.8,14.2,18,,,,,,
2020-2021,Houston Rockets 2021,17,72,108.8,39.3,88.5,44.3,13.8,40.6,33.9,16.5,22.3,74,9.3,33.3,42.6,23.6,7.6,5,14.2,19.5,,,,,,
2020-2021,Miami Heat 2021,40,72,108.1,39.2,83.7,46.8,12.9,36.2,35.8,16.7,21.1,79,8,33.5,41.5,26.3,7.9,4,13.3,18.9,,,,,,
2020-2021,New York Knicks 2021,41,72,107,39.4,86.5,45.6,11.8,30,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,7,5.1,12.2,20.5,,,,,,
2020-2021,Detroit Pistons 2021,20,72,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,7.4,5.2,14.2,20.5,,,,,,
2020-2021,Oklahoma City Thunder 2021,22,72,105,38.8,88,44.1,11.9,35.1,33.9,15.5,21.3,72.5,9.9,35.7,45.6,22.1,7,4.4,15.4,18.1,,,,,,
2020-2021,Orlando Magic 2021,21,72,104,38.3,89.2,42.9,10.9,31.8,34.3,16.6,21.4,77.5,10.4,35.1,45.4,21.8,6.9,4.4,12.3,17.2,,,,,,
2020-2021,Cleveland Cavaliers 2021,22,72,103.8,38.6,85.8,45,10,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,7.8,4.5,14.4,18.2,,,,,,
2019-2020,Milwaukee Bucks 2020,56,73,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,7.2,5.9,14.7,19.6,,,,,,
2019-2020,Houston Rockets 2020,44,72,117.8,40.8,90.4,45.1,15.6,45.3,34.5,20.6,26.1,79.1,9.8,34.5,44.3,21.6,8.7,5.2,14.2,21.8,,,,,,
2019-2020,Dallas Mavericks 2020,43,75,117,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,6.1,4.8,12.1,19.5,,,,,,
2019-2020,LA Clippers 2020,49,72,116.3,41.6,89.2,46.6,12.4,33.5,37.1,20.8,26.3,79.1,10.7,37,47.7,23.7,7.1,4.7,14,22.1,,,,,,
2019-2020,New Orleans Pelicans 2020,30,72,115.8,42.6,91.6,46.5,13.6,36.9,37,17.1,23.4,72.9,11.1,35.4,46.5,26.8,7.5,5,15.9,21.2,,,,,,
2019-2020,Portland Trail Blazers 2020,35,74,115,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,6.3,6.1,12.4,21.7,,,,,,
2019-2020,Washington Wizards 2020,25,72,114.4,41.5,90.9,45.7,12,32.6,36.8,19.4,24.6,78.8,10.2,31.9,42,25,8,4.3,13.6,22.7,,,,,,
2019-2020,San Antonio Spurs 2020,32,71,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19,23.4,81,9,35.6,44.6,24.7,7.3,5.5,12.3,19.4,,,,,,
2019-2020,Boston Celtics 2020,48,72,113.7,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7,35.4,46.1,23,8.3,5.6,13.2,21.6,,,,,,
2019-2020,Phoenix Suns 2020,34,73,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,9.8,33.8,43.5,27.2,7.7,4,14.2,22,,,,,,
2019-2020,Los Angeles Lakers 2020,52,71,113.4,42.3,88.3,48,11,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,8.6,6.6,14.7,20.7,,,,,,
2019-2020,Minnesota Timberwolves 2020,19,64,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,8.7,5.7,14.7,21.4,,,,,,
2019-2020,Toronto Raptors 2020,53,72,112.8,40.2,87.9,45.8,13.8,37,37.4,18.5,23.2,79.6,9.5,35.9,45.4,25.2,8.8,5,14.1,21.7,,,,,,
